station_id,timestamp,DO,pH,conductivity,turbidity,BOD,nitrate
STN_A,2025-01-01 00:00:00,6.95,7.39,329.72,10.28,3.81,4.86
STN_B,2025-01-01 00:00:00,6.67,7.36,372.96,12.81,5.63,6.72
STN_C,2025-01-01 00:00:00,5.57,6.95,424.13,17.16,8.19,10.19
STN_D,2025-01-01 00:00:00,4.53,6.89,541.98,24.66,12.05,12.15
STN_A,2025-01-01 01:00:00,6.77,7.44,302.74,8.56,3.52,4.83
STN_B,2025-01-01 01:00:00,6.15,7.47,379.8,10.41,6.66,6.27
STN_C,2025-01-01 01:00:00,5.69,6.97,430.08,18.3,9.59,10.1
STN_D,2025-01-01 01:00:00,4.9,7.0,497.82,23.92,11.63,13.63
STN_A,2025-01-01 02:00:00,7.15,7.31,324.86,7.42,3.46,5.37
STN_B,2025-01-01 02:00:00,6.76,7.43,367.41,11.54,6.27,7.59
STN_C,2025-01-01 02:00:00,5.61,7.14,433.41,16.21,9.65,10.81
STN_D,2025-01-01 02:00:00,5.03,7.13,525.43,24.03,12.29,13.92
STN_A,2025-01-01 03:00:00,7.14,7.6,280.71,9.23,4.07,4.82
STN_B,2025-01-01 03:00:00,6.58,7.21,376.71,12.54,7.18,6.69
STN_C,2025-01-01 03:00:00,5.61,7.13,463.73,18.49,8.58,10.31
STN_D,2025-01-01 03:00:00,5.18,7.15,509.47,24.51,11.69,12.12
STN_A,2025-01-01 04:00:00,7.32,7.51,320.08,7.65,2.87,4.75
STN_B,2025-01-01 04:00:00,6.53,7.32,377.58,12.61,7.51,7.11
STN_C,2025-01-01 04:00:00,6.01,7.18,421.22,17.96,9.05,11.48
STN_D,2025-01-01 04:00:00,5.18,7.11,519.48,23.25,12.92,13.45
STN_A,2025-01-01 05:00:00,7.52,7.43,341.04,5.9,4.47,6.32
STN_B,2025-01-01 05:00:00,6.39,7.35,381.5,11.25,4.76,7.04
STN_C,2025-01-01 05:00:00,5.67,7.24,436.21,20.33,8.38,9.81
STN_D,2025-01-01 05:00:00,5.53,7.0,523.41,26.96,10.72,13.11
STN_A,2025-01-01 06:00:00,7.38,7.57,301.45,6.02,4.42,5.18
STN_B,2025-01-01 06:00:00,6.78,7.43,369.8,12.35,6.24,6.57
STN_C,2025-01-01 06:00:00,6.56,7.24,432.13,18.99,8.22,10.48
STN_D,2025-01-01 06:00:00,5.65,7.04,534.45,25.62,12.66,14.14
STN_A,2025-01-01 07:00:00,7.21,7.44,306.66,6.78,3.94,5.21
STN_B,2025-01-01 07:00:00,6.77,7.47,380.2,14.18,5.79,8.64
STN_C,2025-01-01 07:00:00,6.17,7.13,433.94,18.73,8.83,10.43
STN_D,2025-01-01 07:00:00,5.43,7.09,507.3,22.73,11.65,13.52
STN_A,2025-01-01 08:00:00,7.3,7.39,322.6,8.58,3.3,5.1
STN_B,2025-01-01 08:00:00,6.65,7.3,385.37,12.85,6.87,7.64
STN_C,2025-01-01 08:00:00,5.52,7.12,457.73,18.78,9.42,12.32
STN_D,2025-01-01 08:00:00,5.41,7.18,534.31,25.98,11.75,13.46
STN_A,2025-01-01 09:00:00,6.93,7.46,312.72,8.13,5.86,3.88
STN_B,2025-01-01 09:00:00,6.76,7.25,372.93,13.64,6.06,6.36
STN_C,2025-01-01 09:00:00,5.64,7.23,439.05,18.33,9.04,9.61
STN_D,2025-01-01 09:00:00,5.8,7.13,489.63,25.28,11.48,13.52
